aX,aY,aZ,gX,gY,gZ
0.558,-0.256,2.220,-33.447,-79.041,-33.508

0.572,-0.447,2.615,-42.358,-88.440,-39.246
0.502,-0.667,3.029,-52.490,-89.539,-46.692
0.236,-0.826,3.359,-61.340,-77.942,-57.129
-0.200,-0.876,3.550,-65.369,-45.654,-69.275
-0.638,-0.906,3.667,-63.171,10.010,-80.078
-0.982,-0.976,3.714,-52.856,82.458,-88.135
-1.238,-1.007,3.679,-42.114,158.447,-93.079
-1.422,-0.919,3.620,-34.546,228.821,-94.177
-1.560,-0.799,3.537,-17.944,286.316,-88.989
-1.731,-0.685,3.217,18.860,324.524,-73.730
-1.887,-0.640,2.616,67.993,344.360,-44.067
-1.951,-0.673,1.859,114.075,353.821,-1.343
-1.919,-0.703,1.082,143.433,355.713,49.988
-1.770,-0.683,0.368,150.391,348.450,102.905
-1.506,-0.560,-0.161,137.207,331.787,150.146
-1.201,-0.302,-0.480,112.183,305.542,189.270
-0.932,-0.041,-0.784,94.910,270.996,218.201
-0.632,0.031,-1.149,94.238,231.445,233.337
-0.316,-0.042,-1.439,96.741,189.697,229.675
-0.104,-0.006,-1.751,88.013,150.208,208.191
0.007,0.061,-1.753,59.326,119.812,181.396
0.057,0.303,-1.486,17.700,95.947,158.875
0.102,0.531,-1.127,-16.541,72.144,144.531
0.135,0.728,-0.752,-34.424,44.617,137.329
0.160,0.867,-0.480,-36.377,11.841,133.789
0.184,0.984,-0.320,-26.489,-21.484,131.592
0.195,1.049,-0.184,-13.123,-49.194,130.981
0.215,1.051,-0.029,-4.883,-68.176,132.080
0.266,1.035,0.131,-2.319,-78.125,132.019
0.384,0.960,0.295,-0.183,-81.299,125.488
0.500,0.816,0.444,4.517,-81.177,106.628
0.527,0.755,0.495,11.292,-78.796,76.721
0.518,0.762,0.521,13.672,-71.655,45.166
0.512,0.772,0.602,8.728,-57.861,20.874
0.518,0.752,0.751,0.427,-42.664,5.676
0.521,0.740,0.867,-3.601,-31.677,-2.075
0.537,0.688,0.932,-0.854,-26.489,-5.371
0.558,0.591,0.970,4.639,-25.757,-7.935
0.544,0.514,0.949,10.437,-27.466,-11.536
0.527,0.416,0.937,13.428,-28.748,-15.564
0.507,0.324,0.921,14.160,-28.625,-20.081
0.481,0.250,0.914,13.062,-26.978,-24.902
0.440,0.208,0.906,9.827,-23.926,-29.053
0.417,0.160,0.947,6.042,-19.958,-31.677
0.395,0.153,0.977,2.747,-17.334,-33.081
0.372,0.126,1.003,1.099,-16.479,-32.776
0.363,0.085,0.994,1.892,-16.785,-31.128
0.366,0.036,0.983,2.380,-16.968,-29.541
0.367,0.001,0.983,1.221,-16.357,-28.137
0.356,-0.012,0.982,-0.549,-15.503,-27.222
0.350,-0.016,0.984,-2.686,-14.099,-26.001
0.343,-0.002,0.995,-4.639,-12.634,-24.109
0.344,0.006,1.015,-6.104,-11.169,-22.034
0.344,0.026,1.016,-5.554,-10.742,-19.958
0.348,0.037,1.018,-4.150,-10.254,-17.883
0.355,0.026,1.009,-2.625,-9.460,-16.052
0.354,0.010,0.991,-0.732,-8.118,-15.198
0.343,0.010,0.951,0.305,-5.554,-15.015
0.334,0.003,0.919,-0.671,-1.099,-14.343
0.346,0.004,0.928,-3.540,4.150,-13.123
0.368,0.019,0.946,-6.348,8.667,-11.414
0.388,0.028,0.960,-7.019,10.925,-9.521
0.413,0.024,0.956,-5.371,10.925,-7.446
0.431,0.008,0.939,-3.174,9.216,-5.920
0.435,0.000,0.907,-1.587,7.446,-4.944
0.436,0.002,0.875,-1.099,5.737,-4.395
0.433,-0.005,0.868,-1.770,5.920,-3.723
0.443,-0.004,0.872,-3.174,6.531,-3.052
0.447,0.009,0.882,-3.662,6.470,-2.502
0.457,0.012,0.890,-2.380,5.737,-2.075
0.463,0.002,0.881,0.366,4.395,-1.465
0.470,-0.010,0.861,2.686,1.953,-0.977
0.474,-0.010,0.840,3.784,0.610,-0.732
0.482,-0.010,0.835,3.418,0.366,-0.305
0.491,0.005,0.849,2.258,0.122,0.183
0.501,0.021,0.870,1.526,-1.160,0.671
0.509,0.020,0.875,2.563,-3.662,0.916
0.513,0.012,0.862,3.967,-6.775,0.061
0.502,0.005,0.847,4.517,-8.240,-1.221
0.488,0.007,0.840,3.784,-8.057,-2.563
0.479,0.002,0.847,3.052,-6.653,-3.296
0.472,0.009,0.860,2.686,-5.188,-3.479
0.464,0.017,0.871,2.380,-4.639,-3.296
0.460,0.021,0.878,1.953,-5.005,-2.380
0.462,0.018,0.886,2.014,-5.920,-1.282
0.463,0.019,0.887,2.075,-6.775,-0.671
0.461,0.022,0.888,2.380,-7.202,-0.305
0.459,0.020,0.889,2.686,-7.080,-0.061
0.458,0.021,0.893,2.991,-6.653,-0.305
0.451,0.028,0.890,2.869,-6.531,-1.038
0.443,0.027,0.890,2.136,-5.920,-1.465
0.439,0.027,0.889,1.831,-5.371,-2.014
0.435,0.026,0.887,2.014,-4.578,-2.441
0.435,0.017,0.884,2.441,-3.662,-2.625
0.443,0.002,0.880,2.258,-2.930,-2.808
0.442,-0.013,0.872,1.831,-2.075,-3.296
0.439,-0.020,0.865,0.549,-1.282,-3.845
0.437,-0.017,0.871,-1.526,-0.244,-4.150
0.440,-0.003,0.889,-3.601,0.366,-3.967
0.442,0.014,0.915,-4.272,0.366,-3.113
0.438,0.021,0.926,-2.991,-1.526,-1.587
0.437,0.021,0.919,-0.427,-4.150,0.000
0.444,0.016,0.905,1.526,-5.798,1.404
0.445,0.010,0.891,2.258,-6.104,2.441
0.452,0.006,0.893,1.709,-5.676,2.686
0.457,0.004,0.897,0.854,-4.883,2.563
0.461,0.009,0.902,0.732,-4.333,2.258
0.460,0.014,0.908,0.671,-3.845,1.709
0.457,0.022,0.906,0.671,-3.418,1.465
0.458,0.028,0.901,0.549,-2.930,1.648
0.463,0.032,0.905,0.183,-2.319,1.831
0.467,0.036,0.914,0.671,-2.136,2.136
0.469,0.038,0.913,2.197,-2.808,1.953
0.468,0.033,0.901,3.601,-3.296,1.831
0.467,0.020,0.890,4.333,-3.723,1.526
0.468,0.006,0.883,4.333,-3.723,0.977
0.469,0.003,0.884,3.845,-3.662,-0.061
0.468,0.004,0.887,3.174,-3.723,-1.160
0.209,-0.595,2.127,-0.122,-46.448,-45.837
0.030,-0.742,2.170,-9.583,-37.903,-67.505
-0.124,-0.869,2.237,-26.367,-15.625,-85.876

-0.225,-0.934,2.372,-46.326,19.043,-97.473
-0.300,-0.922,2.616,-64.636,60.974,-100.830
-0.350,-0.918,2.906,-70.251,100.830,-96.680
-0.461,-0.878,3.078,-53.955,130.676,-87.341
-0.667,-0.866,2.994,-19.287,148.499,-73.364
-0.878,-0.884,2.655,20.447,159.851,-54.260
-1.016,-0.907,2.219,52.734,172.119,-30.701
-1.083,-0.930,1.797,75.195,188.110,-2.319
-1.086,-0.930,1.408,87.463,204.468,30.457
-1.025,-0.895,1.046,89.783,217.224,65.674
-0.927,-0.817,0.749,86.548,224.548,100.586
-0.827,-0.706,0.502,80.933,225.098,132.019
-0.707,-0.566,0.295,72.266,216.370,158.569
-0.586,-0.421,0.147,61.035,198.303,179.626
-0.485,-0.280,0.036,49.072,172.852,193.420
-0.378,-0.143,-0.047,37.354,144.043,199.097
-0.258,-0.020,-0.094,27.527,115.967,197.998
-0.148,0.068,-0.103,18.677,91.614,191.589
-0.071,0.176,-0.096,11.597,72.693,179.382
-0.025,0.289,-0.072,7.568,59.998,164.612
0.015,0.410,-0.029,2.625,51.636,151.367
0.068,0.515,0.024,-3.906,46.448,140.076
0.134,0.606,0.102,-8.484,42.664,129.700
0.195,0.657,0.188,-9.766,38.940,120.972
0.251,0.669,0.235,-9.277,33.203,111.877
0.303,0.673,0.271,-8.789,26.733,100.769
0.347,0.667,0.308,-10.010,20.874,88.745
0.372,0.652,0.369,-11.780,15.686,75.928
0.371,0.647,0.429,-12.207,11.230,62.927
0.372,0.625,0.469,-11.658,7.568,51.270
0.378,0.579,0.504,-10.803,5.066,41.443
0.387,0.523,0.543,-9.460,4.883,32.715
0.382,0.465,0.563,-7.202,5.737,25.330
0.373,0.417,0.586,-6.287,7.080,19.165
0.369,0.378,0.618,-7.202,8.118,14.343
0.368,0.338,0.654,-8.423,7.446,10.803
0.369,0.300,0.680,-9.705,4.883,8.728
0.371,0.270,0.705,-11.047,1.892,7.263
0.376,0.251,0.731,-11.841,-1.038,5.981
0.380,0.232,0.741,-11.902,-3.418,5.798
0.388,0.218,0.760,-12.390,-4.761,6.348
0.397,0.211,0.787,-13.428,-5.005,7.568
0.411,0.184,0.810,-13.306,-5.310,8.606
0.418,0.166,0.824,-12.390,-5.127,9.033
0.419,0.159,0.833,-11.292,-4.944,8.484
0.429,0.147,0.844,-10.559,-4.578,7.507
0.441,0.136,0.859,-10.925,-4.089,6.531
0.448,0.136,0.881,-12.024,-3.662,5.371
0.454,0.137,0.910,-12.573,-3.784,4.028
0.456,0.137,0.930,-11.841,-4.089,2.686
0.454,0.133,0.935,-9.888,-4.822,1.343
0.447,0.127,0.927,-7.812,-5.371,-0.549
0.432,0.126,0.920,-6.226,-5.249,-2.258
0.425,0.131,0.916,-5.737,-4.700,-3.418
0.422,0.135,0.922,-6.409,-4.089,-3.967
0.415,0.128,0.933,-6.226,-3.174,-4.272
0.414,0.116,0.930,-4.395,-3.052,-4.700
0.416,0.094,0.911,-2.502,-3.296,-5.188
0.410,0.079,0.885,-1.709,-2.808,-6.104
0.413,0.071,0.895,-1.526,-2.075,-7.019
