aX,aY,aZ,gX,gY,gZ
-0.289,0.347,2.101,-11.169,-13.855,110.413
-0.285,0.457,2.098,-8.606,-1.465,109.192
-0.267,0.505,2.100,-4.517,12.085,108.093
-0.249,0.628,2.040,0.427,23.987,105.347
-0.229,0.605,1.968,4.700,35.095,102.783
-0.177,0.604,1.942,8.484,47.119,97.900
-0.148,0.618,1.883,11.108,55.298,87.891
-0.151,0.666,1.752,14.221,61.096,76.233
-0.149,0.654,1.654,15.137,68.054,65.186
-0.153,0.675,1.575,13.733,75.134,54.871
-0.156,0.685,1.521,13.000,81.604,45.288
-0.147,0.674,1.435,14.038,86.304,37.537
-0.148,0.704,1.350,16.418,89.417,30.273
-0.157,0.705,1.264,19.409,90.881,24.536
-0.134,0.675,1.179,20.508,91.125,20.386
-0.097,0.668,1.098,18.738,90.942,16.174
-0.077,0.664,1.033,16.785,90.881,11.169
-0.065,0.663,0.988,17.578,90.698,4.456
-0.053,0.674,0.900,19.043,88.562,-2.319
-0.038,0.670,0.830,18.494,86.487,-7.080
-0.022,0.618,0.759,16.846,85.999,-10.925
0.011,0.638,0.713,14.343,86.365,-15.259
0.033,0.676,0.670,10.864,86.853,-19.104
0.065,0.686,0.640,8.728,86.121,-21.912
0.114,0.648,0.612,7.446,83.130,-24.658
0.139,0.627,0.585,5.859,79.224,-28.992
0.147,0.632,0.551,3.723,74.097,-35.034
0.161,0.637,0.515,1.526,69.153,-41.382
0.179,0.615,0.485,0.366,64.941,-47.546
0.190,0.595,0.460,0.061,60.669,-54.016
0.190,0.560,0.431,0.000,56.213,-60.547
0.197,0.510,0.398,-0.183,52.124,-66.833
0.197,0.454,0.377,-1.099,48.279,-72.449
0.185,0.403,0.336,-2.930,44.189,-77.698
0.178,0.379,0.306,-5.127,41.443,-82.031
0.179,0.335,0.282,-7.751,38.330,-85.205
0.181,0.314,0.269,-10.315,34.241,-87.769
0.168,0.280,0.265,-12.390,28.809,-89.294
0.156,0.235,0.270,-13.306,22.583,-90.149
0.140,0.184,0.260,-13.916,15.625,-91.125
0.105,0.134,0.242,-14.282,8.911,-92.163
0.075,0.083,0.219,-15.808,3.235,-92.896
0.051,0.042,0.219,-18.127,-0.122,-93.018
0.025,0.013,0.233,-20.813,-2.808,-92.468
-0.002,-0.009,0.237,-22.888,-5.920,-91.064
-0.024,-0.044,0.243,-23.621,-9.277,-89.111
-0.036,-0.097,0.223,-24.475,-12.939,-86.365
-0.017,-0.146,0.219,-25.452,-16.785,-83.923
0.003,-0.215,0.216,-26.550,-20.203,-81.299
0.027,-0.267,0.219,-28.442,-23.315,-78.552
0.051,-0.314,0.240,-30.884,-26.611,-75.928
0.060,-0.353,0.265,-33.081,-30.334,-73.059
0.035,-0.359,0.298,-34.729,-35.461,-70.618
0.016,-0.359,0.349,-35.217,-42.969,-67.444
0.010,-0.377,0.428,-34.668,-51.819,-62.805
-0.003,-0.406,0.496,-33.569,-61.951,-57.129
-0.013,-0.440,0.543,-30.884,-71.777,-51.331
-0.028,-0.493,0.596,-27.344,-78.796,-46.265
-0.041,-0.515,0.641,-25.024,-82.214,-41.809
-0.047,-0.550,0.683,-23.499,-83.679,-37.292
-0.048,-0.594,0.730,-21.851,-84.045,-32.654
-0.047,-0.612,0.790,-21.667,-84.961,-28.625
-0.038,-0.637,0.862,-20.752,-86.975,-24.475
-0.050,-0.680,0.946,-18.738,-90.088,-20.203
-0.087,-0.705,1.005,-17.395,-93.994,-16.724
-0.115,-0.702,1.073,-16.663,-97.473,-13.062
-0.153,-0.707,1.163,-15.198,-99.670,-7.385
-0.197,-0.730,1.251,-11.353,-100.769,-1.343
-0.235,-0.777,1.306,-5.371,-101.379,5.371
-0.268,-0.846,1.335,-0.488,-100.891,12.390
-0.307,-0.899,1.326,-0.366,-98.633,19.714
-0.339,-0.855,1.428,-5.127,-93.811,27.527
-0.369,-0.795,1.538,-10.498,-88.806,37.598
-0.381,-0.730,1.627,-12.024,-85.510,50.232
-0.357,-0.686,1.678,-11.047,-82.520,63.843
-0.333,-0.672,1.706,-10.254,-78.491,76.660
-0.321,-0.637,1.711,-10.620,-72.266,86.914
-0.311,-0.576,1.727,-11.902,-63.660,93.628
-0.295,-0.523,1.764,-13.428,-54.016,97.900
-0.281,-0.447,1.799,-16.174,-45.105,101.013
-0.267,-0.334,1.833,-19.775,-37.415,104.309
-0.252,-0.229,1.850,-22.095,-30.518,108.154
-0.237,-0.144,1.853,-22.583,-23.865,112.305
-0.218,-0.075,1.849,-22.827,-16.968,115.234
-0.199,-0.025,1.834,-23.499,-10.071,116.333
-0.188,0.058,1.813,-24.353,-2.747,115.234
-0.180,0.180,1.828,-25.513,4.944,113.342
-0.156,0.279,1.842,-25.208,12.207,112.732
-0.125,0.345,1.851,-22.644,17.517,112.305
-0.102,0.407,1.858,-18.555,21.912,110.413
-0.088,0.459,1.831,-14.404,25.208,106.262
-0.074,0.495,1.761,-11.108,28.137,100.769
-0.066,0.530,1.679,-9.094,33.386,93.933
-0.064,0.598,1.654,-8.057,41.016,86.548
-0.053,0.637,1.649,-6.409,47.852,80.139
-0.038,0.653,1.618,-4.272,52.856,74.951
-0.016,0.661,1.554,-1.709,56.458,69.580
0.012,0.641,1.479,0.427,60.181,63.721
0.039,0.649,1.431,1.221,63.721,56.702
0.062,0.633,1.368,0.854,65.552,49.377
0.064,0.623,1.312,1.465,65.430,40.833
0.046,0.627,1.276,2.808,64.514,31.738
0.037,0.615,1.231,3.174,63.049,23.560

0.012,0.633,1.200,2.747,62.012,15.686
-0.014,0.637,1.151,2.869,62.622,9.399
-0.026,0.635,1.111,2.747,64.392,4.456
-0.032,0.634,1.081,2.197,66.101,0.305
-0.033,0.631,1.051,2.441,67.078,-3.601
-0.038,0.622,1.009,2.625,67.261,-7.324
-0.047,0.621,0.973,1.709,67.688,-11.536
-0.045,0.627,0.950,0.610,68.359,-15.991
-0.022,0.633,0.931,0.305,69.092,-20.447
-0.006,0.622,0.893,0.610,69.763,-24.597
0.013,0.606,0.842,0.793,70.740,-28.992
0.034,0.613,0.784,0.183,71.960,-33.752
0.050,0.626,0.761,-1.038,72.632,-38.208
0.070,0.607,0.752,-0.916,71.960,-41.809
0.086,0.595,0.726,0.061,69.580,-45.044
-0.231,0.608,2.071,-13.733,19.897,110.474
-0.226,0.703,2.098,-10.010,27.222,108.887
-0.226,0.761,2.073,-2.502,34.485,106.628
-0.221,0.813,1.995,4.883,42.786,103.271
-0.206,0.831,1.896,10.986,53.406,98.694
-0.182,0.838,1.801,14.954,65.796,92.041
-0.146,0.863,1.738,15.991,77.454,82.947
-0.101,0.901,1.676,15.198,87.280,72.266
-0.048,0.926,1.607,15.503,95.032,61.218
-0.000,0.917,1.533,17.212,100.647,49.744
0.032,0.901,1.458,18.799,104.492,37.781
0.056,0.883,1.370,20.264,106.812,25.940
0.080,0.867,1.279,20.630,107.300,15.076
0.093,0.867,1.188,19.897,107.178,5.310
0.106,0.849,1.098,19.653,106.506,-2.319
0.124,0.818,1.021,18.860,105.164,-8.911
0.135,0.786,0.962,16.785,103.394,-15.503
0.132,0.754,0.904,13.733,101.318,-22.461
0.125,0.739,0.840,11.719,97.290,-30.151
0.116,0.716,0.772,10.742,93.384,-37.476
0.104,0.679,0.707,9.033,90.271,-43.335
0.109,0.630,0.673,5.676,87.891,-48.645
0.112,0.628,0.620,2.930,84.900,-54.382
0.108,0.626,0.557,1.221,81.787,-59.631
0.112,0.586,0.496,-0.366,78.308,-63.965
0.118,0.553,0.451,-2.380,75.134,-68.420
0.117,0.547,0.413,-4.639,71.716,-72.510
0.115,0.532,0.375,-6.165,68.176,-74.890
0.119,0.496,0.348,-6.470,63.660,-75.684
0.118,0.448,0.314,-5.920,57.739,-76.965
0.113,0.381,0.262,-5.981,49.988,-79.651
0.106,0.334,0.215,-7.263,42.358,-83.313
0.096,0.311,0.182,-9.949,35.339,-87.097
0.080,0.261,0.161,-11.902,28.931,-90.454
0.061,0.234,0.127,-13.550,23.315,-93.018
0.054,0.219,0.107,-16.174,18.799,-93.567
0.058,0.190,0.103,-17.822,14.282,-93.079
0.061,0.138,0.114,-18.066,9.705,-92.712
0.054,0.093,0.123,-17.883,4.456,-93.079
0.035,0.074,0.137,-18.677,-1.282,-94.177
0.022,0.042,0.156,-19.043,-6.836,-95.032
0.009,-0.018,0.172,-18.250,-12.268,-95.154
-0.009,-0.071,0.193,-17.212,-17.578,-95.642
-0.033,-0.123,0.213,-17.151,-22.644,-95.581
-0.047,-0.166,0.229,-17.700,-26.733,-94.604
-0.068,-0.204,0.232,-18.982,-29.175,-91.919
-0.074,-0.235,0.280,-19.958,-30.090,-87.769
-0.050,-0.298,0.322,-19.165,-31.616,-81.970
-0.029,-0.380,0.349,-17.456,-35.095,-74.890
-0.023,-0.441,0.384,-17.822,-39.734,-68.237
-0.016,-0.472,0.406,-20.264,-44.861,-61.768
-0.011,-0.482,0.455,-23.437,-49.866,-55.481
-0.020,-0.476,0.483,-27.100,-54.626,-48.645
-0.005,-0.454,0.544,-28.931,-58.350,-42.053
0.026,-0.464,0.614,-28.198,-61.890,-35.583
0.058,-0.500,0.668,-26.672,-66.101,-29.846
0.078,-0.508,0.734,-25.635,-70.435,-26.245
0.082,-0.513,0.810,-25.879,-75.256,-23.376
0.075,-0.517,0.864,-25.452,-79.895,-20.996
0.037,-0.513,0.902,-24.109,-83.923,-19.531
-0.007,-0.514,0.933,-22.949,-86.243,-17.578
-0.042,-0.517,0.960,-21.484,-85.999,-14.587
-0.051,-0.544,1.004,-19.409,-83.679,-9.949
-0.056,-0.580,1.063,-17.944,-81.665,-5.005
-0.074,-0.599,1.110,-17.517,-80.872,-0.183
-0.094,-0.583,1.151,-17.395,-80.933,4.944
-0.116,-0.570,1.225,-16.357,-80.872,10.803
-0.143,-0.552,1.289,-15.259,-81.543,17.517
-0.151,-0.548,1.330,-12.878,-82.458,24.353
-0.156,-0.577,1.361,-9.216,-81.360,30.396
-0.166,-0.559,1.394,-8.057,-78.247,35.461
-0.168,-0.580,1.409,-8.301,-74.829,42.175
-0.164,-0.576,1.437,-8.728,-70.496,49.011
-0.182,-0.521,1.473,-10.254,-65.918,55.969
-0.193,-0.456,1.525,-11.719,-61.462,63.965
-0.187,-0.391,1.577,-11.841,-57.251,72.754
-0.180,-0.331,1.620,-10.925,-53.406,81.543
-0.158,-0.298,1.647,-9.460,-50.110,88.745
-0.134,-0.271,1.664,-8.301,-45.715,93.750
-0.119,-0.235,1.674,-7.446,-40.161,96.436
-0.110,-0.193,1.670,-6.653,-33.447,97.778
-0.100,-0.129,1.666,-6.714,-25.635,98.694
