aX,aY,aZ,gX,gY,gZ
0.545,0.429,1.862,-4.822,67.505,119.324
0.658,0.500,1.826,16.724,74.585,134.766
0.740,0.469,1.691,41.992,78.064,147.217
0.820,0.369,1.476,64.880,81.299,153.687
0.930,0.278,1.211,77.637,87.891,152.405
1.059,0.169,0.995,79.407,100.159,144.287
1.196,0.096,0.827,73.303,116.455,131.104
1.313,0.087,0.700,66.406,133.057,113.892
1.422,0.054,0.615,64.819,146.667,94.299
1.496,0.042,0.557,65.735,152.893,72.754
1.524,0.025,0.496,68.909,149.170,49.194
1.494,-0.026,0.416,68.970,135.376,24.414
1.407,-0.049,0.325,60.364,113.770,-2.563
1.310,-0.066,0.259,46.570,86.975,-31.616
1.170,-0.026,0.175,29.419,57.678,-60.852
1.010,0.024,0.069,13.977,29.236,-86.243
0.890,0.042,0.032,4.517,5.676,-105.225
0.765,0.112,0.074,-7.751,-14.709,-116.516
0.645,0.226,0.154,-19.043,-35.706,-119.873
0.546,0.299,0.241,-21.729,-58.716,-116.028
0.445,0.331,0.284,-22.400,-83.130,-107.117
0.327,0.290,0.266,-19.592,-106.506,-97.107
0.197,0.226,0.185,-14.343,-125.000,-89.844
0.068,0.144,0.100,-10.437,-134.460,-87.585
-0.042,0.045,0.066,-9.460,-134.644,-91.064
-0.131,-0.010,0.084,-10.986,-129.211,-99.976
-0.211,-0.014,0.086,-10.742,-121.887,-111.816
-0.302,0.005,0.106,-6.531,-114.929,-123.718
-0.454,0.071,0.195,-3.235,-110.168,-132.507
-0.615,0.165,0.274,-2.869,-111.267,-138.184
-0.670,0.164,0.288,-4.333,-118.652,-140.320
-0.714,0.216,0.374,-30.029,-128.906,-138.611
-0.809,0.217,0.451,-61.340,-138.123,-133.606
-0.969,0.142,0.470,-76.660,-143.127,-129.456
-1.125,0.015,0.518,-84.595,-138.367,-130.188
-1.260,-0.057,0.557,-90.454,-124.878,-136.475
-1.267,-0.069,0.649,-90.393,-105.225,-144.470
-1.270,0.000,0.893,-86.792,-83.069,-148.254
-1.231,0.119,1.148,-81.482,-64.819,-143.494
