aX,aY,aZ,gX,gY,gZ
-0.632,0.408,2.369,-22.217,-67.993,-13.245
-0.793,0.501,2.420,7.263,-78.064,-21.118
-0.948,0.567,2.350,36.865,-85.510,-18.005
-0.937,0.601,2.247,54.138,-86.548,-3.296
-0.900,0.503,1.986,58.594,-82.581,15.686
-0.766,0.340,1.942,39.124,-70.984,28.564
-0.597,0.358,2.156,9.155,-54.932,27.222
-0.523,0.384,2.414,1.953,-46.265,13.000
-0.552,0.480,2.557,3.235,-49.805,-5.554
-0.723,0.424,2.329,20.874,-57.861,-21.179
-0.848,0.209,2.121,34.363,-57.068,-26.367
-0.901,0.196,1.968,24.902,-45.044,-19.531
-0.856,0.092,1.748,19.714,-20.874,-3.357
-0.683,-0.075,1.482,22.461,10.498,11.536
-0.503,-0.260,1.279,18.982,38.513,13.977
-0.441,-0.385,0.997,4.395,56.519,-2.197
-0.459,-0.511,0.863,-10.559,71.899,-28.076
-0.519,-0.536,0.749,-24.353,86.548,-51.819
-0.569,-0.501,0.658,-30.701,100.586,-63.843
-0.512,-0.492,0.492,-26.184,112.244,-62.561
-0.441,-0.519,0.241,-26.367,115.479,-54.688
-0.315,-0.513,0.163,-39.124,114.075,-50.232
-0.201,-0.432,0.288,-53.406,108.582,-52.124
-0.185,-0.378,0.312,-58.594,96.924,-59.998
-0.262,-0.365,0.284,-53.406,87.646,-71.594
-0.302,-0.297,0.394,-48.584,84.412,-83.435
-0.422,-0.221,0.505,-45.044,81.177,-89.722
-0.457,-0.146,0.681,-38.208,75.500,-88.013
-0.477,-0.062,0.800,-27.161,66.223,-76.050
-0.453,-0.053,0.735,-9.949,55.115,-57.739
-0.398,-0.132,0.587,7.324,49.622,-40.649
-0.288,-0.198,0.593,15.381,48.401,-31.189
-0.222,-0.231,0.594,10.620,45.654,-31.921
-0.232,-0.235,0.622,6.714,45.654,-41.809
-0.212,-0.145,0.771,3.601,50.659,-55.115
-0.334,-0.080,0.834,3.296,55.786,-66.345
-0.399,0.045,0.906,6.531,62.866,-71.838
-0.398,0.060,0.926,17.090,69.580,-66.772
-0.394,0.003,0.817,27.832,69.763,-54.504
-0.421,-0.053,0.671,33.142,65.491,-41.992
-0.323,-0.062,0.629,34.973,60.913,-29.358
-0.204,-0.067,0.584,31.616,52.979,-18.677
-0.071,-0.076,0.526,20.935,45.837,-15.869
0.006,-0.179,0.534,15.076,47.546,-23.437
0.005,-0.149,0.626,14.038,53.772,-39.551
-0.054,-0.038,0.694,17.212,55.481,-54.077
-0.120,-0.027,0.707,21.973,50.781,-58.044
-0.168,-0.096,0.618,26.245,42.419,-54.077
-0.240,-0.149,0.551,27.466,34.729,-46.936
-0.258,-0.116,0.601,18.860,28.503,-37.598
-0.158,-0.099,0.845,-1.648,21.851,-26.367
-0.093,-0.112,0.955,-18.372,15.808,-19.958
-0.111,-0.157,0.992,-12.634,19.897,-22.583
-0.026,-0.035,1.026,4.700,32.043,-30.212
0.009,0.076,0.939,17.639,40.100,-34.973
0.080,0.047,0.825,26.184,41.077,-36.621
0.137,-0.039,0.836,19.348,36.316,-38.391
0.069,-0.147,0.861,6.042,27.954,-43.945
-0.065,-0.228,0.891,3.540,23.804,-52.979
-0.267,-0.233,0.915,8.240,27.466,-58.777
-0.286,-0.172,0.915,18.005,34.058,-56.641
-0.179,-0.147,0.848,19.653,37.842,-47.363
-0.082,-0.232,0.675,16.968,38.879,-37.231
0.080,-0.296,0.581,11.292,41.321,-34.485
0.177,-0.242,0.556,-6.897,43.518,-39.246
0.199,-0.209,0.654,-24.353,44.067,-48.828
0.156,-0.129,0.815,-38.757,40.833,-59.509
0.105,-0.132,0.886,-40.100,33.508,-68.298
0.059,-0.185,0.853,-33.447,26.184,-72.144
-0.115,-0.212,0.742,-27.161,23.987,-71.655
-0.075,-0.237,0.623,-15.015,28.442,-72.144
-0.104,-0.302,0.579,-7.202,36.133,-68.298
-0.177,-0.263,0.573,-5.493,38.452,-60.913
-0.223,-0.172,0.627,-10.681,31.555,-48.706
-0.216,-0.074,0.732,-21.912,17.883,-29.480
-0.135,-0.078,0.797,-26.917,3.296,-8.606
-0.085,-0.109,0.768,-19.531,-7.080,7.446
-0.042,-0.157,0.741,-6.287,-10.559,17.639
0.015,-0.175,0.677,7.568,-9.094,21.179
0.044,-0.207,0.592,20.996,-5.981,19.714
-0.001,-0.197,0.557,29.968,-3.906,15.930
-0.085,-0.107,0.585,34.241,-6.592,14.282
-0.149,-0.030,0.626,35.461,-15.747,19.714
-0.164,-0.090,0.624,29.907,-29.968,31.189
-0.227,-0.195,0.662,18.494,-40.283,42.053
-0.261,-0.184,0.765,9.766,-41.382,48.157
-0.273,-0.178,0.837,13.184,-38.025,50.903
-0.285,-0.202,0.869,17.273,-34.424,53.955
-0.278,-0.226,0.876,16.418,-29.602,56.763
-0.275,-0.197,0.927,20.996,-22.949,58.655
-0.260,-0.116,0.817,37.781,-18.372,60.120
-0.193,-0.119,0.667,49.255,-16.174,63.049
-0.114,-0.241,0.638,42.297,-15.869,67.383
-0.054,-0.304,0.693,11.719,-19.470,65.918
-0.017,-0.282,0.826,-24.902,-21.301,56.702
-0.114,-0.223,1.025,-44.678,-17.273,44.128
-0.217,-0.059,1.192,-48.950,-10.559,30.457
-0.288,-0.008,1.322,-35.095,-3.418,20.691
-0.388,-0.047,1.307,-8.789,0.000,16.602
-0.473,-0.128,1.190,11.658,0.061,16.968
-0.519,-0.171,1.087,17.395,0.366,22.766
-0.532,-0.154,1.014,12.512,2.136,32.532
-0.474,-0.081,1.017,5.188,4.761,44.128
-0.337,-0.070,1.033,1.831,4.944,54.810
-0.224,-0.138,0.992,2.502,0.488,59.387
-0.172,-0.144,0.965,-4.089,-4.822,56.152
-0.140,-0.134,0.997,-12.756,-6.958,49.072
