aX,aY,aZ,gX,gY,gZ
-0.156,-0.064,1.051,13.733,-7.141,-7.446

0.537,-1.852,1.256,146.301,-6.042,-215.271
0.282,-2.291,1.458,167.908,-40.955,-258.789
-0.098,-2.513,1.421,172.913,-82.825,-277.283
-0.634,-2.519,1.234,160.461,-117.554,-255.127
-1.148,-2.355,0.994,123.840,-131.592,-180.481
-1.511,-2.146,0.767,60.791,-122.131,-61.829
-1.686,-1.813,0.624,-18.188,-90.942,72.571
-1.604,-1.397,0.625,-97.168,-48.157,195.190
-1.477,-0.785,0.802,-173.523,-6.287,290.466
-1.405,-0.117,0.973,-239.014,24.475,354.797
-1.284,0.601,1.005,-278.259,43.457,384.583
-1.078,1.300,0.963,-299.744,54.321,381.775
-0.756,1.955,0.899,-306.946,62.317,346.558
-0.326,2.603,0.682,-280.457,71.533,281.555
-0.231,3.155,0.406,-216.309,86.426,205.139
-0.301,3.679,0.243,-152.771,100.403,134.094
-0.337,3.747,0.210,-91.248,105.774,72.571
-0.234,3.464,0.161,-15.747,102.844,14.587
-0.062,2.934,0.146,61.157,93.567,-44.800
0.060,2.411,0.155,130.859,76.416,-107.727
0.157,1.735,0.169,194.702,52.673,-169.983
0.317,0.792,0.196,252.197,23.010,-229.370
0.457,-0.430,0.237,296.570,-9.399,-287.537
0.528,-1.994,0.229,318.726,-32.715,-347.656
0.467,-3.149,0.198,294.006,-44.495,-414.734
0.325,-3.693,0.408,211.853,-63.171,-468.201
-0.145,-3.801,0.778,79.468,-98.938,-464.783
-0.800,-3.440,1.004,-43.152,-151.184,-393.311
-1.464,-2.959,1.038,-116.272,-192.810,-263.550
-2.006,-2.509,0.985,-135.803,-195.190,-104.370
-2.203,-2.066,0.927,-125.854,-158.081,55.847
-1.989,-1.601,0.924,-119.446,-98.755,201.904
-1.683,-1.078,1.054,-139.771,-37.415,321.350
-1.461,-0.209,1.220,-182.922,8.423,403.198
-1.220,0.827,1.199,-233.398,31.921,443.298
-0.908,1.823,1.178,-269.836,43.457,434.265
-0.535,2.578,1.161,-263.794,55.420,369.507
-0.369,3.184,0.752,-199.463,68.176,251.892
-0.096,3.500,0.174,-110.474,88.013,111.938
0.088,3.468,0.019,-29.053,119.690,-14.282
0.251,3.012,0.273,47.974,147.888,-113.098
0.350,2.045,0.449,128.479,152.710,-186.768
0.384,0.716,0.642,208.801,129.150,-243.225
0.332,-0.762,0.814,284.790,81.177,-296.143
0.352,-1.954,0.822,343.323,21.423,-353.271
0.092,-2.868,0.515,355.591,-12.939,-395.691
-0.471,-3.086,0.353,275.513,-24.475,-395.569
-0.804,-2.881,0.657,121.948,-49.011,-320.923
-0.091,-2.516,0.974,-22.888,-98.389,-184.448
-0.912,-1.597,0.720,-56.091,-129.700,-26.978
-1.062,-0.655,0.511,-104.919,-156.128,125.244
-1.071,0.194,0.795,-186.890,-162.842,269.287
-1.138,1.180,1.078,-264.038,-153.015,369.507
