aX,aY,aZ,gX,gY,gZ
1.086,-0.231,1.340,-28.442,-23.865,32.227
1.188,-0.147,1.364,-32.654,-20.081,42.114
1.389,0.018,1.412,-32.104,-12.024,58.411
1.678,0.037,1.412,-24.353,-4.883,79.224
1.864,-0.062,1.368,-7.141,-4.883,94.543
2.054,-0.159,1.374,-1.038,-14.160,98.938
2.192,-0.251,1.395,-3.418,-29.297,93.506
2.183,-0.239,1.405,-12.085,-46.143,81.848
2.018,-0.191,1.207,-21.240,-61.646,67.505
1.749,-0.146,1.047,-33.447,-69.458,53.894
1.515,-0.131,0.890,-36.377,-70.679,43.213
1.317,-0.106,0.799,-34.485,-69.763,34.302
1.120,0.035,0.671,-27.588,-71.533,28.931
0.870,0.076,0.528,-13.367,-76.599,33.569
0.442,-0.140,0.374,1.099,-84.167,48.340
0.079,-0.411,0.331,12.207,-95.154,59.570
-0.066,-0.548,0.440,8.728,-108.887,56.824
-0.048,-0.565,0.336,-4.639,-122.314,44.434
-0.423,-0.422,0.274,-10.681,-128.601,27.832
-0.898,-0.266,0.163,-7.568,-128.845,14.404
-1.262,-0.048,0.135,-1.770,-128.784,5.920
-1.548,0.250,0.130,9.399,-130.493,0.061
-1.702,0.301,0.200,29.297,-134.583,0.732
-1.922,0.179,0.285,41.443,-142.334,6.226
-1.936,0.117,0.290,50.354,-151.184,14.099
-1.939,-0.063,0.226,59.143,-158.691,27.588
-2.096,-0.262,0.205,68.604,-159.912,40.527
-2.372,-0.521,0.326,68.970,-155.090,47.546
-2.363,-0.734,0.443,53.284,-146.973,41.687
-2.240,-0.830,0.491,25.940,-133.301,24.109
-2.216,-0.688,0.482,1.038,-110.474,-2.075
-2.043,-0.464,0.484,-16.235,-81.177,-27.222
-1.710,-0.268,0.516,-21.973,-49.438,-42.664
-1.431,-0.114,0.611,-12.939,-20.081,-44.678
-1.176,-0.031,0.692,1.221,1.709,-33.997
-0.836,-0.085,0.726,14.709,16.846,-15.320
-0.594,-0.192,0.739,21.301,27.039,3.357
-0.492,-0.277,0.740,24.475,33.203,16.235
-0.421,-0.286,0.699,21.484,34.363,20.142
-0.403,-0.223,0.641,12.512,31.311,16.113
-0.236,-0.115,0.679,7.690,25.513,5.432
0.008,-0.027,0.684,2.075,17.090,-9.216
0.128,0.034,0.726,-3.601,7.385,-27.283
-0.068,0.137,0.653,-4.761,-3.540,-43.701
-0.249,0.097,0.684,-0.488,-13.428,-50.171
-0.257,-0.038,0.692,7.812,-24.475,-47.852
-0.187,-0.092,0.741,10.986,-34.180,-43.701
-0.200,-0.160,0.768,14.832,-41.809,-40.161
-0.452,-0.193,0.763,19.287,-48.584,-38.757
-0.762,-0.249,0.777,21.423,-55.481,-36.011
-0.894,-0.359,0.843,23.193,-62.561,-30.884
-0.913,-0.422,0.867,19.226,-67.749,-28.076
-0.929,-0.407,0.859,10.498,-67.627,-28.748
-0.814,-0.378,0.845,-0.061,-60.608,-28.687
-0.808,-0.326,0.793,-2.014,-49.194,-26.001
-0.800,-0.342,0.843,-0.061,-37.048,-20.325
-0.726,-0.397,0.833,2.747,-29.053,-13.428
-0.708,-0.453,0.858,-0.366,-25.391,-10.193
-0.746,-0.435,0.859,-8.179,-25.085,-13.367
-0.733,-0.419,0.845,-17.456,-25.696,-19.104
-0.658,-0.312,0.867,-24.475,-27.222,-25.940
-0.855,-0.309,0.870,-33.081,-28.870,-28.503
-0.874,-0.247,0.873,-35.339,-29.541,-28.320
-0.860,-0.203,0.877,-34.851,-26.550,-27.039
-0.845,-0.159,0.888,-31.433,-18.555,-24.536
-0.809,-0.118,0.905,-25.757,-8.850,-22.156
-0.706,-0.051,0.904,-20.264,-0.366,-19.958
-0.648,-0.001,0.889,-14.160,5.859,-17.700
-0.655,0.019,0.875,-6.958,8.728,-14.099
-0.646,0.008,0.867,-0.122,8.606,-8.301
-0.632,-0.025,0.860,7.080,7.385,-0.732
-0.621,-0.089,0.856,13.855,7.019,9.338
-0.611,-0.174,0.860,19.348,7.751,19.653
-0.609,-0.251,0.861,22.644,8.484,28.259
-0.627,-0.288,0.870,22.888,8.423,33.386
-0.629,-0.320,0.888,21.240,7.629,36.072
-0.631,-0.352,0.898,18.738,6.775,36.011
-0.667,-0.346,0.899,16.174,6.958,33.936
-0.683,-0.340,0.890,14.038,8.118,33.081
-0.695,-0.328,0.901,11.047,10.254,34.302
-0.731,-0.308,0.885,8.362,12.024,36.255
-0.744,-0.282,0.871,5.859,13.794,38.208
