aX,aY,aZ,gX,gY,gZ
0.004,-0.704,1.792,30.273,94.910,-9.399
-0.064,-0.781,1.746,33.630,98.816,0.305
-0.124,-0.824,1.731,38.452,103.333,13.611
-0.166,-0.897,1.668,41.626,107.971,29.846
-0.222,-0.961,1.646,42.175,112.854,47.729
-0.289,-0.897,1.597,37.048,116.638,64.697
-0.322,-0.844,1.435,29.541,120.483,79.468
-0.334,-0.838,1.274,22.522,127.808,88.440
-0.347,-0.775,1.134,10.925,137.207,88.379
-0.326,-0.724,0.979,-1.953,145.935,83.374
-0.268,-0.628,0.878,-14.343,152.344,77.759
-0.292,-0.468,0.736,-26.550,156.250,75.500
-0.304,-0.331,0.665,-36.438,158.569,77.820
-0.267,-0.193,0.550,-41.016,156.799,80.933
-0.250,-0.035,0.493,-42.114,152.039,84.106
-0.231,0.110,0.410,-39.001,144.409,88.562
-0.203,0.224,0.376,-29.114,135.986,96.375
-0.149,0.310,0.408,-14.465,126.709,106.812
-0.120,0.253,0.422,0.305,114.563,117.798
-0.185,0.214,0.486,7.935,100.159,125.427
-0.267,0.251,0.551,6.226,83.740,126.343
-0.291,0.267,0.479,0.488,67.078,122.314
-0.292,0.314,0.423,-4.089,55.908,114.807
-0.276,0.354,0.354,-8.423,51.453,105.652
-0.269,0.434,0.318,-12.756,53.040,95.764
-0.248,0.497,0.274,-16.907,58.716,85.754
-0.173,0.554,0.245,-17.395,65.735,77.637
-0.103,0.611,0.265,-11.963,72.266,72.266
-0.053,0.622,0.292,-2.380,75.500,71.106
-0.002,0.590,0.349,10.376,74.158,73.059
0.066,0.560,0.417,22.095,66.895,74.280
0.091,0.506,0.444,27.893,55.237,74.097
0.070,0.472,0.525,30.090,43.701,72.388
0.096,0.408,0.536,29.480,31.372,69.214
0.150,0.370,0.539,21.240,20.325,62.988
0.159,0.405,0.543,7.629,12.329,53.467
0.153,0.452,0.558,-4.761,6.287,43.762
0.148,0.496,0.567,-11.536,2.380,37.292
0.193,0.473,0.582,-10.437,-0.061,34.851
0.255,0.424,0.607,-6.836,-0.916,34.302
0.258,0.425,0.651,-6.531,-0.671,32.166
0.256,0.438,0.685,-6.287,-0.549,29.907
0.294,0.421,0.715,-4.150,-1.404,28.809
0.305,0.413,0.746,-1.648,-2.686,26.855
0.301,0.398,0.787,-0.671,-4.700,24.231
0.310,0.384,0.805,-0.366,-7.874,20.569
0.332,0.365,0.830,-0.854,-10.742,16.602
0.375,0.330,0.844,-1.038,-13.184,12.634
0.401,0.304,0.867,-2.319,-14.709,8.972
0.396,0.312,0.893,-5.249,-15.930,5.798
0.392,0.323,0.917,-5.371,-16.296,3.967
0.424,0.277,0.929,-3.052,-16.113,4.333
0.441,0.248,0.937,-2.808,-15.137,3.784
0.436,0.232,0.948,-3.906,-13.855,2.014
0.432,0.223,0.953,-4.333,-12.878,0.183
0.428,0.202,0.956,-5.188,-12.146,-1.404
0.432,0.196,0.951,-6.470,-11.902,-3.784
0.423,0.194,0.952,-7.324,-11.536,-5.432
0.410,0.187,0.972,-6.287,-11.658,-5.676
0.422,0.163,0.963,-4.150,-12.146,-4.639
0.425,0.143,0.956,-1.953,-12.878,-3.296
0.415,0.135,0.959,-0.305,-13.367,-2.136
0.402,0.130,0.956,1.343,-13.611,-0.977
0.405,0.119,0.965,3.235,-13.733,0.000
0.411,0.089,0.969,4.150,-13.916,0.671
0.397,0.077,0.988,3.540,-14.343,0.366
0.362,0.074,1.000,1.648,-14.893,-0.916
0.340,0.067,0.994,-0.732,-15.381,-2.075
0.328,0.068,0.982,-3.479,-15.015,-4.089
0.321,0.076,0.980,-5.493,-13.123,-6.348
0.325,0.074,0.978,-7.019,-10.803,-8.423
0.332,0.085,0.965,-8.179,-8.606,-9.338
0.318,0.116,0.962,-8.179,-6.653,-8.789
0.319,0.122,0.959,-5.859,-5.066,-6.714
0.333,0.106,0.956,-2.991,-3.906,-4.578
0.326,0.093,0.962,-1.770,-3.357,-3.113
0.324,0.080,0.967,-1.282,-2.869,-2.441
0.340,0.054,0.961,-1.343,-2.136,-1.770
0.340,0.046,0.960,-2.319,-0.793,-1.038
0.337,0.051,0.956,-3.418,0.488,-0.366
0.351,0.049,0.948,-4.395,1.343,0.244
0.362,0.061,0.939,-6.104,2.136,0.000
0.368,0.080,0.935,-7.690,2.808,-0.732
0.378,0.093,0.930,-7.690,3.296,-0.977
0.382,0.096,0.932,-6.958,2.991,-0.916
0.378,0.093,0.936,-6.592,2.136,-0.610
0.374,0.086,0.944,-5.676,1.099,0.000
0.379,0.083,0.952,-4.639,-0.122,1.221
0.382,0.083,0.954,-4.028,-1.038,2.563
0.374,0.088,0.947,-3.845,-1.160,3.906
0.364,0.090,0.944,-2.808,-0.549,5.127
0.360,0.086,0.942,-1.953,0.244,6.042
0.355,0.080,0.945,-1.953,0.671,5.981
0.349,0.078,0.942,-2.380,0.916,5.432
0.346,0.083,0.948,-2.380,1.038,4.761
0.352,0.078,0.949,-2.319,1.282,3.906
0.362,0.073,0.945,-2.563,1.648,3.479
0.360,0.079,0.940,-2.991,2.075,3.418
0.359,0.079,0.936,-2.869,2.747,3.967
0.366,0.078,0.935,-2.380,3.235,4.639
0.368,0.086,0.932,-2.441,3.662,5.310
0.368,0.099,0.927,-2.686,3.845,5.920
0.362,0.101,0.926,-2.747,3.784,6.592
0.361,0.106,0.926,-2.319,3.723,6.531
0.374,0.091,0.923,-1.648,3.479,6.653
0.376,0.093,0.923,-1.709,3.174,6.531
0.364,0.109,0.917,-2.075,3.113,6.653
0.364,0.121,0.910,-1.221,3.174,7.202
0.362,0.122,0.910,0.488,3.357,7.812
0.369,0.115,0.908,1.953,3.723,8.118
0.381,0.083,0.918,2.258,3.906,8.423
0.381,0.079,0.920,0.916,3.174,7.935
0.369,0.091,0.915,-0.732,2.075,7.385
0.359,0.109,0.919,-1.282,1.160,7.385
0.378,0.108,0.916,-0.122,0.305,7.874
0.392,0.091,0.908,-0.366,-0.305,8.179
0.378,0.100,0.918,-2.075,-0.183,7.629
