aX,aY,aZ,gX,gY,gZ
0.495,0.094,0.714,3.845,21.362,4.456

-0.432,-1.334,1.529,-119.141,-244.507,37.415
-0.542,-1.273,1.791,-126.282,-235.657,63.354
-0.649,-1.183,2.045,-129.517,-220.154,91.797
-0.628,-1.043,2.308,-133.240,-197.876,123.779
-0.711,-0.899,2.606,-136.658,-171.631,157.776
-0.737,-0.664,2.807,-141.724,-144.958,189.697
-0.670,-0.427,2.921,-137.329,-113.098,216.125
-0.595,-0.210,2.941,-129.150,-74.646,239.075
-0.536,0.024,2.900,-124.878,-32.104,256.958
-0.502,0.270,2.849,-120.239,10.681,268.555
-0.424,0.514,2.795,-111.328,48.523,273.010
-0.356,0.714,2.705,-99.670,77.148,272.400
-0.349,0.860,2.536,-87.646,96.069,266.235
-0.351,1.047,2.369,-79.712,109.619,254.761
-0.324,1.220,2.227,-80.139,122.192,242.249
-0.392,1.351,2.100,-82.825,136.353,228.271
-0.396,1.469,1.993,-80.078,151.733,210.571
-0.357,1.556,1.901,-70.496,166.565,189.941
-0.424,1.588,1.702,-58.472,178.772,168.213
-0.516,1.589,1.469,-47.424,189.575,146.851
-0.521,1.606,1.366,-46.997,198.242,129.272
-0.495,1.611,1.318,-55.420,202.820,113.647
-0.483,1.631,1.272,-57.495,204.224,94.177
-0.511,1.659,1.179,-48.584,203.735,71.655
-0.558,1.690,1.060,-35.400,201.599,50.598
-0.574,1.686,0.937,-24.475,199.341,33.752
-0.568,1.687,0.843,-16.418,199.097,18.738
-0.615,1.706,0.711,-7.507,200.806,2.747
-0.591,1.692,0.631,0.549,201.111,-11.963
-0.526,1.639,0.545,2.808,196.106,-28.198
-0.512,1.583,0.422,3.967,188.293,-50.171
-0.523,1.591,0.330,8.728,181.885,-76.416
-0.548,1.566,0.214,16.663,176.270,-99.792
-0.554,1.492,0.083,25.330,170.898,-117.676
-0.529,1.427,-0.006,30.945,165.466,-131.592
-0.486,1.349,-0.078,34.363,158.508,-143.250
-0.440,1.231,-0.159,39.551,149.231,-155.334
-0.424,1.114,-0.266,44.556,138.123,-169.678
-0.411,0.995,-0.352,44.434,126.343,-185.120
-0.427,0.868,-0.480,38.940,114.075,-200.378
-0.440,0.716,-0.547,30.212,101.318,-214.600
-0.424,0.602,-0.528,16.113,86.609,-226.379
-0.423,0.515,-0.482,0.488,67.200,-235.413
-0.413,0.421,-0.437,-8.545,44.739,-241.455
-0.399,0.305,-0.404,-12.878,22.827,-244.934
-0.395,0.205,-0.355,-14.465,4.150,-246.521
-0.396,0.115,-0.304,-14.526,-11.475,-245.789
-0.390,0.006,-0.289,-14.099,-25.879,-241.638
-0.358,-0.158,-0.286,-14.709,-38.086,-235.107
-0.279,-0.322,-0.248,-18.738,-49.011,-228.271
-0.212,-0.455,-0.180,-24.109,-60.059,-222.717
-0.176,-0.574,-0.109,-25.024,-72.937,-218.262
-0.154,-0.738,-0.049,-19.409,-88.562,-213.806
-0.152,-0.954,-0.033,-10.254,-106.812,-210.022
-0.166,-1.183,-0.048,-1.099,-126.465,-207.947
-0.179,-1.403,-0.047,0.732,-147.095,-203.613
-0.178,-1.570,0.003,-10.925,-167.664,-193.542
-0.188,-1.666,0.137,-32.654,-185.547,-176.636
-0.223,-1.693,0.334,-51.941,-198.669,-155.273
-0.266,-1.707,0.530,-58.716,-207.031,-130.859
-0.309,-1.712,0.704,-55.542,-212.769,-104.675
-0.355,-1.688,0.860,-53.711,-217.346,-75.806
-0.379,-1.626,1.040,-56.396,-220.154,-44.312
-0.352,-1.521,1.253,-61.035,-220.032,-12.146
-0.297,-1.388,1.477,-65.125,-217.163,19.043
-0.226,-1.180,1.682,-69.214,-211.121,47.607
-0.165,-0.963,1.879,-73.181,-201.416,72.021
-0.113,-0.720,2.037,-74.097,-187.195,90.759
-0.098,-0.495,2.140,-70.984,-168.457,103.882
-0.092,-0.307,2.203,-64.636,-145.264,112.366
-0.111,-0.129,2.206,-56.580,-119.385,116.760
-0.135,0.055,2.204,-48.950,-92.407,118.164
-0.116,0.243,2.234,-45.715,-67.383,119.873
-0.091,0.418,2.257,-43.335,-46.692,121.460
-0.065,0.554,2.237,-33.752,-29.846,120.911
-0.036,0.620,2.139,-15.869,-15.686,117.004
-0.018,0.635,1.990,1.587,-3.540,110.107
-0.007,0.673,1.859,10.437,7.446,101.318
0.014,0.703,1.734,11.414,17.517,92.163
0.047,0.718,1.633,10.071,26.611,82.275
0.071,0.728,1.551,10.132,34.851,71.167
0.075,0.720,1.466,15.259,41.382,59.448
0.068,0.671,1.346,23.193,44.800,49.561
0.059,0.587,1.211,29.053,45.227,42.053
0.061,0.511,1.112,29.297,43.213,36.377
0.063,0.459,1.040,25.024,38.574,31.433
0.069,0.416,0.995,19.043,32.837,27.100
0.077,0.376,0.958,15.259,28.320,23.071
0.084,0.324,0.919,14.526,25.208,18.860
0.091,0.272,0.885,14.404,23.560,14.648
0.093,0.224,0.867,12.634,22.339,10.986
0.093,0.191,0.856,8.423,20.752,8.118
0.087,0.163,0.857,3.845,19.531,5.615
0.085,0.147,0.877,-0.061,18.127,3.113
0.079,0.136,0.896,-2.319,15.808,0.977
0.062,0.122,0.900,-3.113,12.634,-0.671
0.053,0.111,0.907,-4.150,9.338,-1.648
0.047,0.112,0.903,-6.348,6.653,-1.526
0.051,0.110,0.916,-8.606,6.042,-0.305
0.061,0.102,0.932,-8.972,6.714,1.099
0.069,0.089,0.933,-7.935,7.202,1.953
0.076,0.070,0.929,-7.324,7.080,2.808
0.083,0.055,0.937,-7.935,6.775,2.991
0.090,0.055,0.956,-8.911,5.859,2.441
0.097,0.057,0.963,-8.972,4.578,1.404
0.097,0.053,0.965,-8.728,2.930,0.000
0.099,0.052,0.976,-8.728,1.648,-1.465
0.096,0.050,0.978,-8.545,0.671,-2.808
0.091,0.045,0.988,-8.240,0.366,-3.662
0.084,0.047,0.997,-6.958,0.610,-3.906
0.084,0.044,0.999,-4.700,0.610,-3.235
0.090,0.030,0.994,-3.052,0.244,-1.831
0.089,0.025,0.995,-2.869,-0.244,-0.610
0.092,0.029,1.010,-3.113,-0.427,-0.244
0.094,0.032,1.020,-3.052,-0.916,-0.366
0.092,0.026,1.024,-2.686,-1.038,-0.671
0.084,0.022,1.034,-2.380,-0.732,-1.404
0.075,0.022,1.037,-2.197,-0.244,-2.563
0.066,0.021,1.030,-2.319,0.244,-3.113

-0.041,0.904,1.727,-101.685,74.219,145.142
-0.035,0.985,1.733,-93.933,86.609,136.169
-0.032,1.044,1.706,-81.909,98.022,125.610
-0.049,1.063,1.632,-67.322,108.521,114.563
-0.072,1.048,1.533,-54.504,117.432,102.966
-0.083,1.033,1.454,-47.546,124.878,91.797
-0.107,1.039,1.365,-46.509,131.104,80.994
-0.104,1.046,1.328,-47.729,135.498,70.435
-0.083,1.063,1.310,-48.462,137.451,58.777
-0.073,1.063,1.272,-46.326,137.024,45.166
-0.079,1.069,1.227,-42.175,137.146,30.029
-0.112,1.096,1.180,-38.635,138.672,14.648
-0.137,1.149,1.165,-37.292,142.151,0.732
-0.152,1.194,1.167,-35.706,146.729,-10.498
-0.168,1.208,1.134,-30.212,152.222,-21.240
-0.199,1.203,1.049,-19.592,158.020,-32.471
-0.222,1.194,0.953,-10.559,163.452,-43.579
-0.199,1.172,0.897,-10.864,166.504,-53.162
-0.178,1.133,0.838,-16.174,165.955,-63.538
-0.153,1.108,0.806,-20.691,164.124,-77.026
-0.155,1.108,0.782,-22.217,161.926,-92.712
-0.176,1.096,0.742,-17.578,159.363,-107.727
-0.205,1.070,0.674,-8.728,156.921,-119.507
-0.224,1.033,0.589,-0.549,154.663,-127.319
-0.223,0.986,0.506,4.822,152.710,-131.958
-0.224,0.927,0.410,9.644,151.123,-136.353
-0.223,0.858,0.305,16.663,149.475,-141.663
-0.221,0.767,0.181,24.658,146.851,-147.095
-0.233,0.657,0.038,29.236,141.968,-151.794
-0.234,0.536,-0.113,28.076,134.949,-155.640
-0.215,0.462,-0.188,17.212,125.183,-158.875
-0.176,0.414,-0.207,1.282,110.413,-162.781
-0.147,0.373,-0.224,-10.010,92.224,-167.786
-0.136,0.327,-0.248,-13.123,74.280,-173.645
-0.153,0.268,-0.301,-10.437,57.800,-178.955
